Afghanistan,2008,131
Albania,2008,168
Algeria,2008,127
Andorra,2008,126
Angola,2008,130
Antigua and Barbuda,2008,164
Argentina,2008,165
Armenia,2008,239
Australia,2008,125
Austria,2008,140
Azerbaijan,2008,188
Bahamas,2008,126
Bahrain,2008,73
Bangladesh,2008,183
Barbados,2008,140
Belarus,2008,198
Belgium,2008,151
Belize,2008,125
Benin,2008,161
Bhutan,2008,171
Bolivia (Plurinational State of),2008,105
Bosnia and Herzegovina,2008,137
Botswana,2008,66
Brazil,2008,139
Brunei Darussalam,2008,107
Bulgaria,2008,196
Burkina Faso,2008,143
Burundi,2008,161
Cabo Verde,2008,144
Cambodia,2008,156
Cameroon,2008,122
Canada,2008,138
Central African Republic,2008,121
Chad,2008,130
Chile,2008,125
China,2008,179
Colombia,2008,112
Comoros,2008,140
Congo,2008,113
Cook Islands,2008,63
Costa Rica,2008,107
Cote dIvoire,2008,104
Croatia,2008,203
Cuba,2008,159
Cyprus,2008,75
Czech Republic,2008,191
Democratic People's Republic of Korea,2008,120
Democratic Republic of the Congo,2008,138
Denmark,2008,170
Djibouti,2008,126
Dominica,2008,161
Dominican Republic,2008,126
Ecuador,2008,125
Egypt,2008,130
El Salvador,2008,138
Equatorial Guinea,2008,120
Eritrea,2008,119
Estonia,2008,181
Ethiopia,2008,132
Fiji,2008,150
Finland,2008,113
France,2008,169
Gabon,2008,117
Gambia,2008,183
Georgia,2008,143
Germany,2008,150
Ghana,2008,151
Greece,2008,137
Grenada,2008,211
Guatemala,2008,146
Guinea,2008,177
Guinea-Bissau,2008,166
Guyana,2008,133
Haiti,2008,89
Honduras,2008,166
Hungary,2008,262
Iceland,2008,121
India,2008,108
Indonesia,2008,165
Iran (Islamic Republic of),2008,111
Iraq,2008,134
Ireland,2008,150
Israel,2008,125
Italy,2008,132
Jamaica,2008,155
Japan,2008,119
Jordan,2008,153
Kazakhstan,2008,221
Kenya,2008,178
Kiribati,2008,68
Kuwait,2008,81
Kyrgyzstan,2008,197
Lao People's Democratic Republic,2008,173
Latvia,2008,202
Lebanon,2008,183
Lesotho,2008,109
Liberia,2008,149
Libya,2008,140
Lithuania,2008,204
Luxembourg,2008,138
Madagascar,2008,154
Malawi,2008,163
Malaysia,2008,141
Maldives,2008,59
Mali,2008,171
Malta,2008,123
Marshall Islands,2008,166
Mauritania,2008,147
Mauritius,2008,110
Mexico,2008,94
Micronesia (Federated States of),2008,110
Monaco,2008,132
Mongolia,2008,284
Montenegro,2008,170
Morocco,2008,127
Mozambique,2008,143
Myanmar,2008,162
Namibia,2008,73
Nauru,2008,231
Nepal,2008,178
Netherlands,2008,165
New Zealand,2008,137
Nicaragua,2008,124
Niger,2008,129
Nigeria,2008,148
Niue,2008,93
Norway,2008,138
Oman,2008,118
Pakistan,2008,152
Palau,2008,131
Panama,2008,109
Papua New Guinea,2008,168
Paraguay,2008,135
Peru,2008,130
Philippines,2008,134
Poland,2008,219
Portugal,2008,161
Qatar,2008,93
Republic of Korea,2008,133
Republic of Moldova,2008,204
Romania,2008,202
Russian Federation,2008,180
Rwanda,2008,158
Saint Kitts and Nevis,2008,154
Saint Lucia,2008,141
Saint Vincent and the Grenadines,2008,141
Samoa,2008,77
San Marino,2008,108
Sao Tome and Principe,2008,169
Saudi Arabia,2008,81
Senegal,2008,152
Serbia,2008,236
Seychelles,2008,199
Sierra Leone,2008,133
Singapore,2008,126
Slovakia,2008,200
Slovenia,2008,176
Solomon Islands,2008,124
Somalia,2008,150
South Africa,2008,193
Spain,2008,140
Sri Lanka,2008,130
Sudan,2008,100
Suriname,2008,102
Swaziland,2008,117
Sweden,2008,121
Switzerland,2008,127
Syrian Arab Republic,2008,75
Tajikistan,2008,126
Thailand,2008,136
The former Yugoslav Republic of Macedonia,2008,177
Timor-Leste,2008,141
Togo,2008,143
Tonga,2008,105
Trinidad and Tobago,2008,128
Tunisia,2008,127
Turkey,2008,163
Turkmenistan,2008,172
Tuvalu,2008,188
Uganda,2008,191
Ukraine,2008,170
United Arab Emirates,2008,78
United Kingdom,2008,144
United Republic of Tanzania,2008,113
United States of America,2008,143
Uruguay,2008,198
Uzbekistan,2008,113
Vanuatu,2008,152
Venezuela (Bolivarian Republic of),2008,112
Viet Nam,2008,168
Yemen,2008,112
Zambia,2008,166
Zimbabwe,2008,157
